,datetime,headline
81,2021-04-21 11:02:00,Global tally of COVID-19 cases top 142 million as Indias surge raises the alarm
80,2021-04-21 11:04:00,European Health Regulators Add Blood Clot Warning to J&JS Covid-19 Vaccine
79,2021-04-21 11:26:00,J&J Signals Optimism With Covid Vaccine Use in Limbo in U.S.
78,2021-04-21 11:54:00,Johnson & Johnson COVID-19 Vaccine Roll-out to Resume in Europe Following European Medicines Agency (EMA) Review
77,2021-04-21 12:00:00,Johnson & Johnson (JNJ) Q1 2021 Earnings Call Transcript
76,2021-04-21 12:02:00,Dow Jones Sells Off As Apple Slides Ahead Of 'Spring Loaded' Event; Tesla Jumps On Price Target Boost
75,2021-04-21 12:08:00,"Dow Jones Dives 300 Points Despite IBM, J&J Gains As Stock Market Gets Slammed"
74,2021-04-21 12:09:00,"EMA Finds Potential Blood Clot Link With JNJ COVID-19 Shot, Adds Safety Warning"
73,2021-04-21 12:24:00,"J&J to resume COVID-19 vaccine shipments to EU, with a warning 'very rare' adverse events"
72,2021-04-21 12:54:00,German scientist: J&J to cooperate in study of rare clots linked to COVID-19 vaccine
71,2021-04-21 13:15:00,"Netherlands to resume use of J&J COVID-19 vaccine, says health minister"
70,2021-04-21 14:15:00,Pandemic eviction bans found to protect entire communities from COVID-19: Study
69,2021-04-21 14:47:00,"Johnson & Johnson vaccine pause isnt crimping confidence in the vaccination process, survey says"
68,2021-04-21 15:05:00,"Dow Jones Slumps 300 Points, But IBM Flashes Buy Signal; Apple Debuts New iMacs, iPad Pro Tablets"
67,2021-04-21 15:15:00,Dow Jones Loses 300 Points; These Blue Chips Score Breakouts On Earnings
66,2021-04-21 15:24:00,EU regulatory agency links J&J COVID-19 vaccine to rare blood clots
65,2021-04-21 15:35:00,"UPDATE 2-J&J to cooperate in study of rare clots linked to COVID-19 vaccine, German scientist says"
64,2021-04-21 15:37:00,Fauci: JNJ vaccine may return Friday with new limits
63,2021-04-21 16:10:00,Bellwether J&J Squashes First-Quarter Views; Will Other Medical Stocks Follow?
62,2021-04-21 16:31:00,Dow Slides As Procter & Gamble Move Raises Inflation Fears; JNJ Rallies On Vaccine News
58,2021-04-22 09:31:00,Why Novavax Could Be the Biggest Winner From Johnson & Johnson's Vaccine Woes
57,2021-04-22 09:31:00,Will Blood Clot Issues Make Johnson & Johnson's COVID Vaccine a Loser?
56,2021-04-22 09:31:00,Bear of the Day: OrganiGram Holdings (OGI)
55,2021-04-22 09:31:00,2 Reasons This COVID Vaccine Latecomer Could Gain Major Market Share
54,2021-04-22 09:31:00,UPDATE 1-European countries to resume J&J COVID vaccine deliveries
53,2021-04-22 09:31:00,Is AstraZeneca a Bad-News Buy?
52,2021-04-22 09:31:00,Is J&J Stock A Sell As Blood-Clot Questions Plague Its Covid Vaccine?
51,2021-04-22 09:31:00,Is Pfizer Stock A Buy As The Company Bolsters Its Covid Vaccine Supply?
50,2021-04-22 09:31:00,"Dow Jones Futures: Netflix Dives On Subscriber Miss, Chip Giant ASML Rallies After Market Retreat Slams Leaders"
49,2021-04-22 09:31:00,J&J resumes European COVID-19 vaccine rollout with regulator-mandated safety warning
47,2021-04-22 09:31:00,"Company News for Apr 21, 2021"
31,2021-04-22 09:31:00,"Stock Market News About Johnson & Johnson, NVIDIA, and More"
48,2021-04-22 09:31:00,"EU snubs extra 300 mln J&J, Astra shots in bet on Pfizer-source"
46,2021-04-22 09:31:00,"UPDATE 4-Peeling paint, unsanitary practices among issues at U.S. plant making J&J COVID-19 vaccine -FDA"
45,2021-04-22 10:04:00,J&J (JNJ) Gets Usage Guidance for COVID-19 Vaccine in Europe
44,2021-04-22 10:07:00,"Peeling paint, unsanitary practices among issues at U.S. plant making J&J COVID-19 vaccine -FDA"
43,2021-04-22 10:08:00,"RPT-UPDATE 1-U.S. FDA finds peeling paint, debris at U.S. plant making J&J's COVID-19 vaccine"
42,2021-04-22 10:11:00,12 Best Value Dividend Stocks to Buy Now According to Warren Buffett
41,2021-04-22 10:17:00,"RPT-UPDATE 1-U.S. FDA finds peeling paint, debris at U.S. plant making J&J's COVID-19 vaccine"
40,2021-04-22 10:23:00,FDA inspection of Emergent's COVID-19 vaccine plant identifies 'potential quality issues'
39,2021-04-22 10:35:00,Healthcare ETFs in Focus Post JNJ's Q1 Earnings Results
38,2021-04-22 11:42:00,"EU says J&J vaccine benefits outweigh risks, Pfizer finds fake COVID-19 shots"
37,2021-04-22 11:54:00,"EXPLAINER-How worried should we be about blood clots linked to Astra, J&J vaccines?"
36,2021-04-22 13:07:00,UPDATE 1-Greece to start J&J coronavirus vaccinations on May 5
35,2021-04-22 14:13:00,UPDATE 1-South African researchers hope to resume J&J vaccination study next week
34,2021-04-22 14:58:00,Im confident in the J&J vaccine and its effectiveness: NewYork Presbyterian CEO
33,2021-04-22 14:59:00,"Spain likely to start J&J COVID vaccinations on Thursday, minister says"
32,2021-04-22 16:01:00,Pfizer identifies fake COVID-19 shots abroad
12,2021-04-23 09:31:00,"J&J COVID-19 vaccine 'pause' reviewed, U.S. officials hope to resume shots"
15,2021-04-23 09:31:00,Texas woman hospitalized after J&J shot with similar symptoms as blood clot cases
16,2021-04-23 09:31:00,Oregon: CDC investigating womans death after J&J vaccine
17,2021-04-23 09:31:00,US Indexes Close Lower Thursday
18,2021-04-23 09:31:00,UPDATE 1-J&J shareholders approve CEO Gorsky's near-$30 mln pay plan
19,2021-04-23 09:31:00,'We are still dealing with the unknown' Doctor on Covid-19
20,2021-04-23 09:31:00,Microsofts Big Deal and Coinbases Big Debut
30,2021-04-23 09:31:00,"India to expand vaccinations but supplies tight, imports delayed"
10,2021-04-23 09:31:00,UPDATE 1-Swedish health agency extends pause on J&J vaccine
9,2021-04-23 09:31:00,"Pharma Stock Roundup: JNJ's Q1 Earnings & Sales Beat, RHHBY Sales, & Other Updates"
8,2021-04-23 09:31:00,UPDATE 2-J&J COVID-19 vaccine pause under review as U.S. advisers weigh clot reports
14,2021-04-23 09:31:00,J&J COVID-19 vaccine expected to be imported to India by July - report
11,2021-04-23 09:31:00,UPDATE 1-Germany sets no limits on use of J&J COVID-19 shot
13,2021-04-23 09:31:00,"UPDATE 2-U.S. CDC probes new death, hospitalization after J&J vaccine shots - officials"
7,2021-04-23 10:07:00,CDC committee to meet today to discuss J&J's COVID-19 shot
6,2021-04-23 10:17:00,JNJ's COVID-19 Vaccine Halt Due To Blood-Clot Concerns To Be Scrutinized Today: WSJ
29,2021-04-23 10:19:00,Were Hedge Funds Right About Johnson & Johnson (JNJ)?
5,2021-04-23 10:34:00,UPDATE 2-EU backs AstraZeneca COVID-19 vaccine as blood clot reviews continue
28,2021-04-23 10:37:00,Ocugen (OCGN) Up on Positive Data for COVID-19 Vaccine Candidate
27,2021-04-23 10:46:00,S.Africa's Imperial Logistics says it has been selected to import COVID-19 vaccines
4,2021-04-23 10:52:00,CDC committee to meet on J&J COVID vaccine as India sets record case number for second straight day
26,2021-04-23 11:16:00,Why Emergent BioSolutions Stock Is Falling Again Today
3,2021-04-23 11:38:00,Johnson & Johnsons Covid Vaccine Faces a Make-or-Break Vote Today
25,2021-04-23 11:42:00,J&J shareholders approve CEO Gorsky's near $30 mln pay plan
24,2021-04-23 11:48:00,J&J shareholders approve CEO Gorsky's near-$30 million pay plan
23,2021-04-23 11:50:00,Coronavirus: The risk going forward is 'general confidence in vaccines'
22,2021-04-23 12:17:00,Global COVID cases top 144 million as India breaks U.S.s daily case record
2,2021-04-23 12:22:00,Doctor: COVID-19 variants have 'represented incremental setbacks'
1,2021-04-23 12:56:00,"Dow Jones Jumps 250 Points As Stock Market Rallies; Apple, Goldman Lead Blue Chips"
21,2021-04-23 13:24:00,Vaccine trials on pregnant women show reassuring results: Doctor
0,2021-04-23 14:14:00,Portfolio manager says investors should avoid these sectors
25,2021-04-24 09:31:00,'Hopeful that JNJ coronavirus vaccine pause is lifted by FDA': Doctor
24,2021-04-24 09:31:00,J&J Covid Vaccines Could Resume This Weekend Following CDC Panel Vote
23,2021-04-24 09:31:00,"U.S. FDA, CDC lift pause on Johnson & Johnson COVID-19 vaccine use"
22,2021-04-24 09:31:00,U.S. Ends Pause on Johnson & Johnsons Covid Vaccine. What to Know.
21,2021-04-24 09:31:00,Johnson & Johnson Single-Shot COVID-19 Vaccinations to Resume in the U.S. for All Adults Aged 18 and Older Following CDC and FDA Decision
20,2021-04-24 09:31:00,"CDC and FDA lift pause, allowing Johnson & Johnson COVID-19 vaccinations to resume"
19,2021-04-24 09:31:00,AstraZeneca vaccines sent to Mexico from Baltimore plant safe - deputy health minister
43,2021-04-24 09:31:00,J&J COVID-19 vaccine expected to be imported to India by July - report
17,2021-04-24 09:31:00,This Risk Might Shock Anyone Holding Johnson & Johnson Stock
16,2021-04-24 09:31:00,"If You Missed the Cannabis Stock Gold Rush, Try This New Industry Instead"
44,2021-04-24 09:31:00,Texas woman hospitalized after J&J shot with similar symptoms as blood clot cases
15,2021-04-24 09:31:00,Why Berkshire Hathaway's health care project Haven failed
14,2021-04-24 09:31:00,Johnson & Johnson and 6 Other Companies Raised Their Dividends This Week. What to Know.
13,2021-04-24 09:31:00,Johnson & Johnson COVID-19 Cleared For Use Following Investigation Into Blood Clotting
18,2021-04-24 09:31:00,UPDATE 1-AstraZeneca vaccines sent to Mexico from Baltimore plant safe - deputy health minister
27,2021-04-24 09:31:00,CDC panel recommends using Johnson & Johnson covid vaccine for ages 18+
26,2021-04-24 09:31:00,CDC committee votes to lift pause on Johnson & Johnson COVID-19 vaccine
42,2021-04-24 09:31:00,"UPDATE 2-U.S. CDC probes new death, hospitalization after J&J vaccine shots - officials"
37,2021-04-24 09:31:00,"UPDATE 3-J&J'S COVID-19 vaccine pause should be lifted, CDC advisers say"
38,2021-04-24 09:31:00,"Pharma Stock Roundup: JNJ's Q1 Earnings & Sales Beat, RHHBY Sales, & Other Updates"
39,2021-04-24 09:31:00,UPDATE 1-Swedish health agency extends pause on J&J vaccine
40,2021-04-24 09:31:00,UPDATE 1-Germany sets no limits on use of J&J COVID-19 shot
41,2021-04-24 09:31:00,"J&J COVID-19 vaccine 'pause' reviewed, U.S. officials hope to resume shots"
36,2021-04-24 10:07:00,CDC committee to meet today to discuss J&J's COVID-19 shot
35,2021-04-24 10:17:00,JNJ's COVID-19 Vaccine Halt Due To Blood-Clot Concerns To Be Scrutinized Today: WSJ
34,2021-04-24 10:34:00,UPDATE 2-EU backs AstraZeneca COVID-19 vaccine as blood clot reviews continue
33,2021-04-24 10:52:00,CDC committee to meet on J&J COVID vaccine as India sets record case number for second straight day
32,2021-04-24 11:38:00,Johnson & Johnsons Covid Vaccine Faces a Make-or-Break Vote Today
31,2021-04-24 12:22:00,Doctor: COVID-19 variants have 'represented incremental setbacks'
30,2021-04-24 12:56:00,"Dow Jones Jumps 250 Points As Stock Market Rallies; Apple, Goldman Lead Blue Chips"
29,2021-04-24 13:15:00,Committee Advises J&J Vaccine Use Be Resumed
12,2021-04-24 13:28:00,What we know about COVID vaccine side effects in women
11,2021-04-24 13:53:00,"Coronavirus: Elevated U.S. case levels give 'an opportunity to mutate,' doctor warns"
28,2021-04-24 14:14:00,Portfolio manager says investors should avoid these sectors
10,2021-04-24 15:05:00,"With OK from experts, some states resume use of J&J vaccine"
8,2021-04-26 09:31:00,EU set to welcome fully vaccinated U.S. tourists this summer: report
7,2021-04-26 09:31:00,"J&J vaccine study to resume in South Africa on Wednesday, ministry says"
6,2021-04-26 09:31:00,UPDATE 1-South African study using J&J vaccine will resume on Wednesday
5,2021-04-26 09:31:00,Travel stocks rally as EU set to welcome vaccinated American tourists this summer
4,2021-04-26 09:31:00,France's Sanofi to help Moderna manufacture COVID-19 shots
3,2021-04-26 09:31:00,"Johnson & Johnson Looks To Offload Breast Implant Business, Once Again: Bloomberg"
2,2021-04-26 09:31:00,U.S. resumes J&J vaccine with warning
1,2021-04-26 10:14:00,Why Theres Room for More Players in the Covid-19 Vaccine Market
9,2021-04-26 10:24:00,Johnson & Johnson Shot's Benefits Outweigh Risks: Dr. Collins
0,2021-04-26 11:23:00,President Biden set to announce new CDC mask guidance Tuesday: RPT
10,2021-04-27 09:31:00,"UPDATE 1-J&J execs get pay raises, but only after bruising shareholder 'Vote No' campaign"
11,2021-04-27 09:31:00,Biden will reportedly announce new CDC mask guidance Tuesday
12,2021-04-27 09:31:00,"J&J execs get pay raises, but only after bruising shareholder 'Vote No' campaign"
13,2021-04-27 09:31:00,Canada supports use of Johnson & Johnson's COVID-19 vaccine despite reports of rare blood clots
7,2021-04-27 09:31:00,Is There Any Hope for Inovio?
6,2021-04-27 09:31:00,3 Reasons Not to Buy Johnson & Johnson Stock Just Because Its COVID Vaccine Pause Was Lifted
5,2021-04-27 09:31:00,Is There Any Hope Left for Emergent BioSolutions?
4,2021-04-27 09:31:00,"This Pharma Giant Lost the Vaccine Race, But Its COVID-19 Journey May Not Be Over"
3,2021-04-27 09:31:00,3 Dividend Stocks That Just Hiked Their Payouts
2,2021-04-27 09:31:00,Is JNJ Stock A Buy As Covid Vaccinations Resume Post Blood-Clot Scare?
23,2021-04-27 09:31:00,U.S. resumes J&J vaccine with warning
24,2021-04-27 09:31:00,"Johnson & Johnson Looks To Offload Breast Implant Business, Once Again: Bloomberg"
25,2021-04-27 09:31:00,France's Sanofi to help Moderna manufacture COVID-19 shots
26,2021-04-27 09:31:00,Travel stocks rally as EU set to welcome vaccinated American tourists this summer
27,2021-04-27 09:31:00,UPDATE 1-South African study using J&J vaccine will resume on Wednesday
28,2021-04-27 09:31:00,"J&J vaccine study to resume in South Africa on Wednesday, ministry says"
9,2021-04-27 09:31:00,Why BioNTech Fell by 7% Today Before Recovering
8,2021-04-27 09:31:00,California man hospitalized with blood clot after J&J vaccination
22,2021-04-27 10:14:00,Why Theres Room for More Players in the Covid-19 Vaccine Market
1,2021-04-27 10:43:00,"Indias COVID surge is beyond heartbreaking, says WHO head, as first relief supplies arrive"
0,2021-04-27 11:06:00,U.S. probing two new blood clot cases after J&J's COVID-19 vaccine
21,2021-04-27 11:23:00,Biden set to announce new CDC mask guidance Tuesday: RPT
20,2021-04-27 11:26:00,Doctor on updated mask guidelines: 'I think the time is now'
19,2021-04-27 12:22:00,Johnson & Johnson Vaccinations Resume Amid Declining U.S. Infections
18,2021-04-27 13:31:00,The Johnson & Johnson vaccine has become critically important: Doctor
17,2021-04-27 14:23:00,Biden administration to share access to U.S.s pipeline of AstraZeneca vaccine to help close global gap
16,2021-04-27 15:27:00,Johnson & Johnson: A Huge Vaccine Upside
15,2021-04-27 16:32:00,"UPDATE 2-Venezuela keen on J&J vaccine but seeks details on side effects, official says"
14,2021-04-27 16:59:00,3 Income Favorites Raising Dividends
1,2021-04-28 09:31:00,"Bayou Intermediate II, LLC -- Moody's assigns a B2 CFR to Bayou Intermediate II, LLC; outlook stable"
2,2021-04-28 09:31:00,Top Pharma Giants Expected to Be Most Active in M&A
7,2021-04-28 09:31:00,Is JNJ Stock A Buy As Covid Vaccinations Resume Post Blood-Clot Scare?
9,2021-04-28 09:31:00,"This Pharma Giant Lost the Vaccine Race, But Its COVID-19 Journey May Not Be Over"
10,2021-04-28 09:31:00,Is There Any Hope Left for Emergent BioSolutions?
11,2021-04-28 09:31:00,3 Reasons Not to Buy Johnson & Johnson Stock Just Because Its COVID Vaccine Pause Was Lifted
12,2021-04-28 09:31:00,Is There Any Hope for Inovio?
8,2021-04-28 09:31:00,3 Dividend Stocks That Just Hiked Their Payouts
0,2021-04-28 09:31:00,"Bayou Intermediate II, LLC -- Moody's assigns a B2 CFR to Bayou Intermediate II, LLC; outlook stable"
6,2021-04-28 11:06:00,U.S. probing two new blood clot cases after J&J's COVID-19 vaccine
5,2021-04-28 11:58:00,"Indias COVID surge is beyond heartbreaking, says WHO director-general, as first relief supplies arrive"
4,2021-04-28 12:41:00,CDC: Small groups of people can gather outside without masks
3,2021-04-28 13:58:00,CDCs latest guidance on outdoor mask wearing is a big milestone: Doctor
