,datetime,headline
68,2021-04-20 09:31:00,"The Zacks Analyst Blog Highlights: UnitedHealth, Pfizer, Accenture, Wells Fargo and Uber"
67,2021-04-20 09:31:00,CureVac starts review process in Switzerland for COVID-19 vaccine hopeful
71,2021-04-20 09:31:00,Quiet session for European stock markets despite reopening optimism
72,2021-04-20 09:31:00,The publics expectation of perfection: Risk of blood clot from Johnson & Johnson COVID-19 vaccine is 0.00009%
69,2021-04-20 09:31:00,"UPDATE 1-Spain mulls delaying second dose of Moderna and Pfizer shots, El Mundo reports"
70,2021-04-20 09:31:00,"15 Best Stocks in the Past Week: Novavax, Moderna Surge Higher"
62,2021-04-20 10:55:00,South Africa's vaccine compensation fund could cost $17.5 mln in first year
61,2021-04-20 11:22:00,UPDATE 2-Israel to buy millions of Pfizer COVID-19 vaccine doses
60,2021-04-20 11:36:00,Doctor on J&J vaccine: It comes down to 'the benefit-risk ratio'
59,2021-04-20 13:41:00,"India to waive import duty on COVID-19 vaccines, says govt source"
58,2021-04-20 13:49:00,Doctor on J&J vaccine: You have a much higher risk of getting a blood clot if you smoke
50,2021-04-21 09:31:00,10 Words From Pfizer's CEO That Could Mean $10 Billion in Higher Vaccine Sales
56,2021-04-21 09:31:00,"Austria to funnel 651,000 COVID vaccine doses to Western Balkans from EU"
55,2021-04-21 09:31:00,UPDATE 2-Thailand seeks 5-10 mln doses of Pfizer vaccines
54,2021-04-21 09:31:00,"Israel logs Indian COVID-19 variant, sees some vaccine efficacy against it"
53,2021-04-21 09:31:00,China's U.S. embassy has begun accepting non-Chinese vaccine records
52,2021-04-21 09:31:00,Updating Pfizer's Technical Condition
51,2021-04-21 09:31:00,"UPDATE 1-EU to funnel COVID vaccines to Balkans after China, Russia shipments"
49,2021-04-21 09:31:00,Pfizer (PFE)/ BioNTech to Supply Extra Comirnaty Doses to EU
44,2021-04-21 09:31:00,UPDATE 2-Brazil in talks to buy 100 mln more Pfizer/BioNTech COVID-19 vaccine doses
43,2021-04-21 09:31:00,Panama to buy 2 million more doses of Pfizer's COVID-19 vaccine
48,2021-04-21 10:18:00,Emergent (EBS) Bayview Unit Operation on Hold for FDA Probe
47,2021-04-21 13:43:00,"Israel prepares second COVID vaccine round, expects to include children"
46,2021-04-21 14:15:00,Pandemic eviction bans found to protect entire communities from COVID-19: Study
45,2021-04-21 15:24:00,EU regulatory agency links J&J COVID-19 vaccine to rare blood clots
36,2021-04-22 09:31:00,"EU snubs extra 300 mln J&J, Astra shots in bet on Pfizer-source"
37,2021-04-22 09:31:00,Leaked EU-Pfizer contract shows price for COVID vaccines set at 15.5 euros per dose
38,2021-04-22 09:31:00,Pfizer Confirms Some Counterfeit COVID-19 Vaccines
39,2021-04-22 09:31:00,Is Pfizer Stock A Buy As The Company Bolsters Its Covid Vaccine Supply?
41,2021-04-22 09:31:00,"UPDATE 3-Japan eyes state of emergency for Tokyo, Osaka regions amid virus surge"
42,2021-04-22 09:31:00,"Japan mulls state of emergency for Tokyo, Osaka as COVID-19 cases surge -media"
40,2021-04-22 09:31:00,Is Novavax Stock A Buy On Its Leading Covid Vaccine Effectiveness?
25,2021-04-22 09:31:00,INSIGHT-How South Korea turbocharged specialty syringe production for COVID-19 vaccines
35,2021-04-22 10:37:00,"India records more than 200,000 COVID cases for seventh straight day as hospitals run low on oxygen"
34,2021-04-22 11:08:00,"UPDATE 1-Haircuts for some, as Poland eases virus curbs in certain regions"
33,2021-04-22 11:14:00,BioN­Tech CFO Sees Scope For Additional Pro­duc­tion Sites To Meet De­mand For COVID-19 Shots: Reuters
32,2021-04-22 11:42:00,"EU says J&J vaccine benefits outweigh risks, Pfizer finds fake COVID-19 shots"
31,2021-04-22 11:49:00,"Pfizer, unions, others donated $61.8 mln for Biden's inaugural"
30,2021-04-22 11:54:00,"Pfizer, unions, others donated $61.8 million for Biden's inaugural"
29,2021-04-22 14:13:00,UPDATE 1-South African researchers hope to resume J&J vaccination study next week
28,2021-04-22 14:58:00,Im confident in the J&J vaccine and its effectiveness: NewYork Presbyterian CEO
27,2021-04-22 16:01:00,Pfizer identifies fake COVID-19 shots abroad
26,2021-04-22 16:43:00,"Bank of America, Boeing, Pfizer, Qualcomm among companies that gave $1 million to Bidens inauguration"
3,2021-04-23 09:31:00,UPDATE 1-EU approves ramp-up of Pfizer vaccine manufacturing site in Belgium
11,2021-04-23 09:31:00,US Indexes Close Lower Thursday
4,2021-04-23 09:31:00,"Pharma Stock Roundup: JNJ's Q1 Earnings & Sales Beat, RHHBY Sales, & Other Updates"
5,2021-04-23 09:31:00,1 Cheap Pharmaceutical Stock to Buy in 2021
6,2021-04-23 09:31:00,UK Vaccination Studies Show 65% Drop In COVID-19 Infections After Single Dose Of Pfizer Or AstraZeneca Jab: Reports
7,2021-04-23 09:31:00,EU to conclude deal for 1.8 bln vaccines with Pfizer/Biontech in days
8,2021-04-23 09:31:00,UPDATE 4-EU to shortly sign world's largest vaccine deal with Pfizer
9,2021-04-23 09:31:00,Is It Too Late to Buy Ocugen Stock?
10,2021-04-23 09:31:00,"The Biggest mRNA Winner: Pfizer, BioNTech, Moderna, or an Under-the-Radar Biotech?"
12,2021-04-23 09:31:00,'We are still dealing with the unknown' Doctor on Covid-19
23,2021-04-23 09:31:00,Pfizer and BioNTech Vaccine Sales Jump $1.4 Billion Thanks to AstraZeneca's Blunders
16,2021-04-23 09:31:00,Pfizer Declares Second-Quarter 2021 Dividend
17,2021-04-23 09:31:00,UPDATE 1-Thailand says Russia agrees to supply Sputnik V COVID-19 vaccine
18,2021-04-23 09:31:00,Is It Time To Buy AbbVie Stock As It Barrels Toward A New Buy Point?
19,2021-04-23 09:31:00,RPT-INSIGHT-How South Korea turbocharged specialty syringe production for COVID-19 vaccines
20,2021-04-23 09:31:00,"India to expand vaccinations but supplies tight, imports delayed"
21,2021-04-23 09:31:00,Could This Little-Known Company's Vaccine Candidate Leapfrog Moderna and Pfizer?
22,2021-04-23 09:31:00,Can Pfizer's COVID Vaccine Beat the South African Variant?
24,2021-04-23 09:31:00,Evonik starts lipid deliveries for Pfizer/BioNTech COVID-19 vaccine ahead of time
15,2021-04-23 11:50:00,Coronavirus: The risk going forward is 'general confidence in vaccines'
2,2021-04-23 12:22:00,Doctor: COVID-19 variants have 'represented incremental setbacks'
14,2021-04-23 12:31:00,CORRECTED-Pfizer COVID-19 shot effective for people with chronic diseases- Israel study
13,2021-04-23 13:24:00,Vaccine trials on pregnant women show reassuring results: Doctor
1,2021-04-23 13:55:00,COVID SCIENCE-Third-trimester vaccination appears safe; Pfizer/BioNtech vaccine effective in those with chronic illnesses
0,2021-04-23 14:59:00,Moderna Is More Than Its Covid Vaccine. Why Its Time to Buy the Stock.
14,2021-04-24 09:31:00,U.S. Ends Pause on Johnson & Johnsons Covid Vaccine. What to Know.
15,2021-04-24 09:31:00,'Hopeful that JNJ coronavirus vaccine pause is lifted by FDA': Doctor
19,2021-04-24 09:31:00,UPDATE 1-EU approves ramp-up of Pfizer vaccine manufacturing site in Belgium
20,2021-04-24 09:31:00,"Pharma Stock Roundup: JNJ's Q1 Earnings & Sales Beat, RHHBY Sales, & Other Updates"
23,2021-04-24 09:31:00,EU to conclude deal for 1.8 bln vaccines with Pfizer/Biontech in days
22,2021-04-24 09:31:00,UK Vaccination Studies Show 65% Drop In COVID-19 Infections After Single Dose Of Pfizer Or AstraZeneca Jab: Reports
24,2021-04-24 09:31:00,UPDATE 4-EU to shortly sign world's largest vaccine deal with Pfizer
25,2021-04-24 09:31:00,Is It Too Late to Buy Ocugen Stock?
26,2021-04-24 09:31:00,"The Biggest mRNA Winner: Pfizer, BioNTech, Moderna, or an Under-the-Radar Biotech?"
21,2021-04-24 09:31:00,1 Cheap Pharmaceutical Stock to Buy in 2021
18,2021-04-24 12:22:00,Doctor: COVID-19 variants have 'represented incremental setbacks'
17,2021-04-24 13:55:00,COVID SCIENCE-Third-trimester vaccination appears safe; Pfizer/BioNtech vaccine effective in those with chronic illnesses
16,2021-04-24 14:59:00,Moderna Is More Than Its Covid Vaccine. Why Its Time to Buy the Stock.
10,2021-04-25 09:31:00,UK officials close to deal to buy tens of millions more doses of Pfizer vaccine - Sunday Times
13,2021-04-25 09:31:00,UPDATE 1-S.Korea signs with Pfizer for additional 40 mln COVID-19 vaccine doses
12,2021-04-25 09:31:00,3 Top Coronavirus Stocks to Buy Right Now
11,2021-04-25 13:53:00,"Coronavirus: Elevated U.S. case levels give 'an opportunity to mutate,' doctor warns"
9,2021-04-26 09:31:00,The Best Dividend Stocks to Buy With $300 Right Now
7,2021-04-26 09:31:00,EU set to welcome fully vaccinated U.S. tourists this summer: report
6,2021-04-26 09:31:00,When It Comes to a Travel Restart All Vaccines Are Not Equal
5,2021-04-26 09:31:00,UPDATE 1-Moderna vaccine to be reviewed for WHO emergency listing on April 30 - WHO spokesman
4,2021-04-26 09:31:00,Travel stocks rally as EU set to welcome vaccinated American tourists this summer
3,2021-04-26 09:31:00,France's Sanofi to help Moderna manufacture COVID-19 shots
2,2021-04-26 09:31:00,Merck (MRK) to Report Q1 Earnings: What's in the Cards?
1,2021-04-26 09:31:00,EU takes legal action against AstraZeneca over COVID vaccine contract
0,2021-04-26 10:03:00,"Adobe inks cloud deals with Pfizer, Walgreens, other healthcare companies"
8,2021-04-26 13:01:00,Israel examining heart inflammation cases in people who received Pfizer COVID shot
5,2021-04-27 09:31:00,"Top U.S. trade negotiator meets Pfizer, AstraZeneca execs on COVID-19 IP waiver"
6,2021-04-27 09:31:00,"Top U.S. trade negotiator meets Pfizer, AstraZeneca execs on COVID-19 IP waiver"
7,2021-04-27 09:31:00,Biden will reportedly announce new CDC mask guidance Tuesday
8,2021-04-27 09:31:00,Pfizer (PFE) Gains But Lags Market: What You Should Know
2,2021-04-27 09:31:00,Is There Any Hope for Inovio?
1,2021-04-27 09:31:00,Is Pfizer Stock A Buy As The Company Bolsters Its Covid Vaccine Supply?
3,2021-04-27 09:31:00,Pfizer and BioNTech About to Sign the Biggest Vaccine Supply Deal Ever: Why It's Great News for Investors
13,2021-04-27 09:31:00,EU takes legal action against AstraZeneca over COVID vaccine contract
14,2021-04-27 09:31:00,Merck (MRK) to Report Q1 Earnings: What's in the Cards?
15,2021-04-27 09:31:00,France's Sanofi to help Moderna manufacture COVID-19 shots
16,2021-04-27 09:31:00,Travel stocks rally as EU set to welcome vaccinated American tourists this summer
17,2021-04-27 09:31:00,UPDATE 1-Moderna vaccine to be reviewed for WHO emergency listing on April 30 - WHO spokesman
18,2021-04-27 09:31:00,When It Comes to a Travel Restart All Vaccines Are Not Equal
4,2021-04-27 09:31:00,UPDATE 1-Japan's defense ministry to open mass vaccination centre in Tokyo
12,2021-04-27 10:03:00,"Adobe inks cloud deals with Pfizer, Walgreens, other healthcare companies"
0,2021-04-27 10:34:00,Argentina restarts talks with Pfizer into buying its coronavirus vaccine
11,2021-04-27 11:23:00,Biden set to announce new CDC mask guidance Tuesday: RPT
10,2021-04-27 11:26:00,Doctor on updated mask guidelines: 'I think the time is now'
9,2021-04-27 13:31:00,The Johnson & Johnson vaccine has become critically important: Doctor
3,2021-04-28 09:31:00,"UPDATE 4-GSK focused on split as cost checks, COVID-19 easings aid earnings"
11,2021-04-28 09:31:00,S.Korea to lift mandatory quarantine for residents fully vaccinated against COVID-19
4,2021-04-28 09:31:00,"CORRECTED-UPDATE 2-Waivers for vaccine production ""not a solution"" - BioNTech"
5,2021-04-28 09:31:00,Pfizer buys Amplyx to expand drug-resistant treatment portfolio
6,2021-04-28 09:31:00,Pfizer Acquires Amplyx Pharmaceuticals
7,2021-04-28 09:31:00,Japan's unused 14 mln doses of COVID-19 vaccines point to logistical hurdles
8,2021-04-28 09:31:00,Here's the Biggest Risk With Buying Ocugen Stock Right Now
9,2021-04-28 09:31:00,UK regulator sees no heart inflammation concerns from Pfizer COVID shot
10,2021-04-28 09:31:00,"RPT-Scientists, doctors slam Hungarian government criticism of western vaccines"
2,2021-04-28 09:31:00,UPDATE 1-English official says she is hopeful COVID vaccine protection will not wane quickly
12,2021-04-28 09:31:00,"Beyond a Vaccine, Pfizer Looks to Treat COVID-19"
22,2021-04-28 09:31:00,Is There Any Hope for Inovio?
21,2021-04-28 09:31:00,Is Pfizer Stock A Buy As The Company Bolsters Its Covid Vaccine Supply?
23,2021-04-28 09:31:00,Pfizer and BioNTech About to Sign the Biggest Vaccine Supply Deal Ever: Why It's Great News for Investors
24,2021-04-28 09:31:00,UPDATE 1-Japan's defense ministry to open mass vaccination centre in Tokyo
1,2021-04-28 10:00:00,Pfizer Invites Public to Listen to Webcast of Pfizer Discussion at Healthcare Conference
0,2021-04-28 10:09:00,"""Pioneering"" Chile moves to cover pregnant women with COVID-19 vaccines"
20,2021-04-28 10:34:00,Argentina restarts talks with Pfizer into buying its coronavirus vaccine
19,2021-04-28 11:43:00,Top 4 Mutual Fund Holders of Pfizer
18,2021-04-28 12:23:00,"Swedish PM given COVID-19 vaccine, urges population to follow suit"
17,2021-04-28 13:15:00,"Scientists, doctors slam Hungarian government criticism of western vaccines"
16,2021-04-28 13:44:00,UPDATE 2-U.S. CDC has not seen link between heart inflammation and COVID-19 vaccines
15,2021-04-28 13:58:00,CDCs latest guidance on outdoor mask wearing is a big milestone: Doctor
14,2021-04-28 14:24:00,"COVID-19 Oral Antiviral Drug From Pfizer Could Be Available By 2021, Says CEO: CNBC"
13,2021-04-28 14:55:00,"CDC says masks no longer necessary outdoors, with caveats"

